
id,content_name,is_ott,분류코드,개봉일,감독_및_PD,시청자수,platform,episode_total,episode_length,cast,origin_country,lang,rating,synopsis,poster_url,ott_availability,awards,tags
234,BernieÂ,N,DRAMA_CRIME_SERIAL,2011-08-02,Richard Linklater,68030,Theater,1,99,"Matthew McConaughey, Brandon Smith",USA,English,15세,funeral stockbroker texas,NA,NA,NA,"Comedy, Crime, Drama"
235,Project AlmanacÂ,N,MOVIE_MUSIC_HIPHOP,2015-07-16,Dean Israelite,81592,Theater,1,106,"Gary Weeks, Jonny Weston",USA,English,15세,found footage teenager time machine,NA,NA,NA,"Sci-Fi, Thriller"
236,The Grace CardÂ,N,MOVIE_FAM_MARRIAGE,2010-11-25,David G. Evans,74762,Theater,1,101,"Michael Joiner, Chris Thomas",USA,English,15세,christian film forgiveness hospital,NA,NA,NA,Drama
237,Shark LakeÂ,N,DRAMA_FAM_SIBLING,2015-12-25,Jerry Dugan,75317,Theater,1,92,"Melissa Bolona, Michael Aaron Milligan",USA,English,전체,blood daughter jail,NA,NA,NA,Thriller
238,Julija in alfa RomeoÂ,N,KDRAMA_045,2015-08-20,Blaz Zavrsnik,90648,영화관,1,83,"Dario Nozic Serini, Spela Colja",Slovenia,Slovenian,전체,A film titled Julija in alfa RomeoÂ.,NA,NA,NA,Comedy
239,The King's SpeechÂ,N,MOVIE_MYST_AMNESIA,2010-11-28,Tom Hooper,844554,영화관,1,118,"Colin Firth, Jennifer Ehle",UK,English,19금,king king george vi speech,NA,NA,NA,"Biography, Drama, History"
240,ForsakenÂ,N,MOVIE_MUSIC_CLASSICAL,2015-05-18,Jon Cassar,50653,영화관,1,90,"Demi Moore, Landon Liboiron",Canada,English,19금,A film titled ForsakenÂ.,NA,NA,NA,"Drama, Western"
241,The Killer Inside MeÂ,N,KDRAMA_053,2010-07-15,Michael Winterbottom,53693,Theater,1,109,"Liam Aiken, Ned Beatty",USA,English,19금,deputy murder revenge,NA,NA,NA,"Crime, Drama, Thriller"
242,Dawn PatrolÂ,N,MOVIE_FAM_MARRIAGE,2014-11-01,Daniel Petrie Jr.,54530,영화관,1,88,"Chris Brochu, Jeff Fahey",USA,English,전체,desert held at gunpoint marine,NA,NA,NA,"Drama, Thriller"
243,The Twilight Saga: Breaking Dawn - Part 2Â,N,DRAMA_SCHOOL_SPECIAL,2012-07-01,Bill Condon,250135,Theater,1,115,"Robert Pattinson, Kristen Stewart",USA,English,15세,battle friend super strength,NA,NA,NA,"Adventure, Drama, Fantasy"
244,The CraziesÂ,N,KVARIETY_198,2010-09-19,Breck Eisner,100685,Theater,1,101,"Radha Mitchell, Glenn Morshower",USA,English,19금,deputy iowa rural setting,NA,NA,NA,"Horror, Thriller"
245,Attack the BlockÂ,N,KVARIETY_093,2011-08-20,Joe Cornish,147465,영화관,1,88,"John Boyega, Luke Treadaway",UK,English,19금,alien alien invasion apartment,NA,NA,NA,"Action, Comedy, Sci-Fi"
246,Coming HomeÂ,N,KVARIETY_011,2014-08-01,Yimou Zhang,82508,영화관,1,109,"Li Gong, Daoming Chen",China,Mandarin,15세,amnesia cultural revolution husband wife relationship,NA,NA,NA,Drama
247,Like CrazyÂ,N,DRAMA_WORK_FOOD,2011-02-09,Drake Doremus,55205,Theater,1,90,"Jennifer Lawrence, Charlie Bewley",USA,English,15세,girlfriend immigration long distance relationship,NA,NA,NA,"Drama, Romance"
248,Into the Grizzly MazeÂ,N,MOVIE_MUSIC_FOLK,2015-12-26,David Hackl,56940,Theater,1,94,"Scott Glenn, Michaela McManus",USA,English,19금,bear breasts female nudity,NA,NA,NA,"Action, Horror, Thriller"
249,The DUFFÂ,N,MOVIE_SF_AI,2015-11-04,Ari Sandel,61730,Theater,1,101,"Bella Thorne, Romany Malco",USA,English,15세,cartoon on tv generation y high school,NA,NA,NA,Comedy
250,Miss JulieÂ,N,DRAMA_THR_LEGAL,2014-07-02,Liv Ullmann,71666,영화관,1,129,"Samantha Morton, Jessica Chastain",Norway,English,15세,kissing someone's boot midsummer telling someone to shut up,NA,NA,NA,"Drama, Romance"
251,Top FiveÂ,N,MOVIE_MYST_CONSPIRACY,2014-10-20,Chris Rock,42996,Theater,1,102,"Rosario Dawson, Romany Malco",USA,English,19금,bare breasts celebrity in medias res,NA,NA,NA,"Comedy, Romance"
252,Project XÂ,N,DRAMA_THR_MEDICAL,2012-05-22,Nima Nourizadeh,272962,Theater,1,93,"Dax Flame, Kirby Bliss Blanton",USA,English,19금,birthday party high school high school senior,NA,NA,NA,"Comedy, Crime"
253,AWOL-72Â,N,DRAMA_MYST_CLOSEDROOM,2015-02-15,Christian Sesma,40346,Theater,1,82,"Bokeem Woodbine, Brooke Newton",USA,English,19금,police officer police officer taken hostage,NA,NA,NA,Thriller
254,Dead Man DownÂ,N,DRAMA_THR_CRIME,2013-08-07,Niels Arden Oplev,93441,Theater,1,118,"Dominic Cooper, Isabelle Huppert",USA,English,19금,crime lord dead body dead body in a freezer,NA,NA,NA,"Action, Crime, Drama"
255,A Plague So PleasantÂ,N,KVARIETY_070,2013-03-04,Benjamin Roberds,64423,Theater,1,76,"Eva Boehnke, Maxwell Moody",USA,English,전체,A film titled A Plague So PleasantÂ.,NA,NA,NA,"Drama, Horror, Thriller"
256,The Geographer Drank His Globe AwayÂ,N,KDRAMA_063,2013-01-09,Aleksandr Veledinskiy,60303,영화관,1,120,"Konstantin Khabenskiy, Elena Lyadova",Russia,Russian,전체,rafting russia school,NA,NA,NA,"Adventure, Drama"
257,Wild TargetÂ,N,KDRAMA_096,2010-12-11,Jonathan Lynn,96449,영화관,1,98,"Rupert Grint, Rupert Everett",UK,English,15세,apprentice assassin hitman,NA,NA,NA,"Action, Comedy, Crime"
258,Mr. ChurchÂ,N,KVARIETY_162,2016-08-22,Bruce Beresford,73494,Theater,1,104,"Mckenna Grace, Lucy Fry",USA,English,15세,A film titled Mr. ChurchÂ.,NA,NA,NA,Drama
259,Alice in WonderlandÂ,N,MOVIE_ANIME_SPORTS,2010-12-23,Tim Burton,567620,Theater,1,108,"Johnny Depp, Alan Rickman",USA,English,12세,alice in wonderland mistaking reality for dream queen,NA,NA,NA,"Adventure, Family, Fantasy"
260,Glee: The 3D Concert MovieÂ,N,DRAMA_ACTION_HEIST,2011-02-03,Kevin Tancharoen,84463,Theater,1,84,"Lea Michele, Heather Morris",USA,English,12세,concert live in concert recording live performance,NA,NA,NA,"Documentary, Music"
261,War HorseÂ,N,KDRAMA_094,2011-04-17,Steven Spielberg,188706,Theater,1,146,"Jeremy Irvine, Benedict Cumberbatch",USA,English,15세,barbed wire british cavalry,NA,NA,NA,"Drama, War"
262,The Other Dream TeamÂ,N,KVARIETY_198,2012-09-07,Marius A. Markevicius,50514,Theater,1,89,"Tommy Sheppard, Greg Speirs",USA,English,전체,basketball basketball team grateful dead,NA,NA,NA,"Documentary, Sport"
263,Enter the Dangerous MindÂ,N,DRAMA_MEDICAL_EMERGENCY,2013-10-03,Youssef Delara,41417,Theater,1,88,"Noel Gugliemi, David Bianchi",USA,English,전체,dubstep tied feet,NA,NA,NA,Thriller
264,Archaeology of a WomanÂ,N,KDRAMA_095,2012-04-02,Sharon Greytak,14848,Theater,1,94,"Sally Kirkland, Alex Emanuel",USA,English,전체,A film titled Archaeology of a WomanÂ.,NA,NA,NA,Drama
265,"As Above, So BelowÂ",N,KVARIETY_088,2014-11-08,John Erick Dowdle,68878,Theater,1,93,"Ben Feldman, Edwin Hodge",USA,English,19금,archeologist catacomb found footage,NA,NA,NA,"Horror, Mystery, Thriller"
266,The Tree of LifeÂ,N,MOVIE_CRIME_HOSTAGE,2011-11-20,Terrence Malick,188282,Theater,1,139,"Brad Pitt, Tye Sheridan",USA,English,15세,1950s children ice cube,NA,NA,NA,"Drama, Fantasy"
267,The Book of EliÂ,N,DRAMA_ROM_GL,2010-11-27,Albert Hughes,345440,Theater,1,118,"Denzel Washington, Mila Kunis",USA,English,19금,blind book long take,NA,NA,NA,"Action, Adventure, Drama"
268,Taken 2Â,N,KVARIETY_160,2012-05-10,Olivier Megaton,473295,영화관,1,98,"Liam Neeson, Luke Grimes",France,English,15세,albanian revenge revenge motive,NA,NA,NA,"Action, Crime, Thriller"
269,Take ShelterÂ,N,DRAMA_ACTION_TECH,2011-07-07,Jeff Nichols,134466,Theater,1,121,"Katy Mixon, Shea Whigham",USA,English,19금,ambiguous ending firefly mysterious event,NA,NA,NA,"Drama, Thriller"
270,The Image RevolutionÂ,N,MOVIE_CRIME_SERIAL,2014-01-01,Patrick Meaney,76612,Theater,1,81,"Taliesin Jaffe, Greg Aronowitz",USA,English,전체,comic book comic book history comics,NA,NA,NA,"Biography, Documentary"
271,Big Hero 6Â,N,DRAMA_WORK_BUSINESS,2014-06-03,Don Hall,448283,Theater,1,102,"Damon Wayans Jr., Daniel Henney",USA,English,12세,high tech martial arts masked man,NA,NA,NA,"Action, Adventure, Animation"
272,Winnie the PoohÂ,N,MOVIE_MUSIC_MUSICAL,2011-06-05,Stephen J. Anderson,49327,Theater,1,63,"Craig Ferguson, Robert Lopez",USA,English,전체,disney owl rabbit,NA,NA,NA,"Adventure, Animation, Comedy"
273,The PrinceÂ,N,MOVIE_DOC_ART,2014-01-12,Brian A Miller,91293,Theater,1,93,"Bruce Willis, 50 Cent",USA,English,19금,assassin fight mechanic,NA,NA,NA,"Action, Thriller"
274,Before MidnightÂ,N,KVARIETY_008,2013-10-13,Richard Linklater,178967,Theater,1,109,"Seamus Davey-Fitzpatrick, Ariane Labed",USA,English,19금,friend greece greek,NA,NA,NA,"Drama, Romance"
275,Red LightsÂ,N,DRAMA_FANTASY_GRIMREAPER,2012-09-26,Rodrigo CortÃ©s,82744,영화관,1,114,"Robert De Niro, Toby Jones",Spain,English,19금,fraud physicist psychic,NA,NA,NA,"Drama, Horror, Mystery"
276,GetawayÂ,N,DRAMA_WORK_FINANCE,2013-12-05,Courtney Solomon,67715,Theater,1,90,"Rebecca Budig, Paul Freeman",USA,English,15세,die hard scenario earth viewed from space race against time,NA,NA,NA,"Action, Crime, Thriller"
277,Silent HouseÂ,N,MOVIE_ROM_GL,2011-07-26,Chris Kentis,78238,영화관,1,86,"Eric Sheffer Stevens, Julia Taylor Ross",France,English,19금,bound and gagged girl haunted house,NA,NA,NA,"Drama, Horror, Mystery"
278,We Have Your HusbandÂ,N,DRAMA_SCHOOL_SPECIAL,2011-07-18,Eric Bross,80788,Theater,1,87,"Teri Polo, Esai Morales",USA,English,12세,abduction based on true story mexico,NA,NA,NA,"Crime, Drama, Thriller"
279,How to Fall in LoveÂ,N,DRAMA_ROM_HISTORICAL,2012-01-02,Mark Griffiths,32173,Theater,1,84,"Eric Mabius, Gina Holden",USA,English,전체,A film titled How to Fall in LoveÂ.,NA,NA,NA,"Comedy, Romance"
280,Silver Linings PlaybookÂ,N,MOVIE_ANIME_FANTASY,2012-02-12,David O. Russell,845515,Theater,1,122,"Jennifer Lawrence, Robert De Niro",USA,English,19금,adulterous wife bipolar disorder obsessive compulsive personality disorder,NA,NA,NA,"Comedy, Drama, Romance"
281,SubconsciousÂ,N,DRAMA_THR_SURVIVAL,2015-04-05,Georgia Hilton,74889,Theater,1,122,"Mike Beckingham, Tim Abell",USA,English,19금,military submarine suspense,NA,NA,NA,"Action, Mystery, Thriller"
282,St. VincentÂ,N,KVARIETY_105,2014-04-18,Theodore Melfi,106053,Theater,1,102,"Bill Murray, Naomi Watts",USA,English,15세,bullying grumpy old man school presentation,NA,NA,NA,"Comedy, Drama"
283,Celeste & Jesse ForeverÂ,N,DRAMA_THR_CRIME,2012-10-25,Lee Toland Krieger,58292,Theater,1,92,"Ari Graynor, Janel Parrish",USA,English,19금,best friends friendship masturbation,NA,NA,NA,"Comedy, Drama, Romance"
284,HerculesÂ,N,KVARIETY_062,2014-11-23,Brett Ratner,223629,Theater,1,101,"Dwayne Johnson, Rufus Sewell",USA,English,15세,army greek mythology hercules,NA,NA,NA,"Action, Adventure"
285,While We're YoungÂ,N,MOVIE_DOC_SCIENCE,2014-02-04,Noah Baumbach,50231,Theater,1,97,"Naomi Watts, Maria Dizzia",USA,English,19금,documentary filmmaker documentary filmmaking father in law,NA,NA,NA,"Comedy, Drama"
286,Mirror MirrorÂ,N,KVARIETY_134,2012-04-03,Tarsem Singh,88473,Theater,1,106,"Julia Roberts, Nathan Lane",USA,English,12세,kingdom prince princess,NA,NA,NA,"Adventure, Comedy, Drama"
287,Obvious ChildÂ,N,MOVIE_COM_SLAPSTICK,2014-03-05,Gillian Robespierre,87028,Theater,1,84,"Gaby Hoffmann, Jenny Slate",USA,English,19금,abortion divorced parents one night stand,NA,NA,NA,"Comedy, Drama"
288,The WolfmanÂ,N,DRAMA_FAM_SINGLEPARENT,2010-11-19,Joe Johnston,123983,Theater,1,119,"Anthony Hopkins, Simon Merrells",USA,English,19금,asylum death full moon,NA,NA,NA,"Drama, Fantasy, Horror"
289,Oz the Great and PowerfulÂ,N,KVARIETY_106,2013-12-15,Sam Raimi,313685,Theater,1,130,"Tim Holmes, Mila Kunis",USA,English,12세,circus magic magician,NA,NA,NA,"Adventure, Family, Fantasy"
290,Clash of the TitansÂ,N,DRAMA_MEDICAL_PSY,2010-05-18,Louis Leterrier,246170,Theater,1,106,"Liam Neeson, Jason Flemyng",USA,English,15세,famous line hand to hand combat kraken,NA,NA,NA,"Action, Adventure, Fantasy"
291,VaaluÂ,N,KDRAMA_031,2015-04-03,Vijay Chandar,45666,영화관,1,155,"Hansika Motwani, T.R. Silambarasan",India,Tamil,전체,A film titled VaaluÂ.,NA,NA,NA,"Comedy, Romance"
292,SaltÂ,N,KVARIETY_152,2010-02-20,Phillip Noyce,297982,Theater,1,101,"Angelina Jolie Pitt, Andre Braugher",USA,English,15세,cia on the run russian,NA,NA,NA,"Action, Crime, Mystery"
293,CheckmateÂ,N,KVARIETY_143,2015-06-06,Timothy Woodward Jr.,47284,Theater,1,97,"Katrina Law, Johnny Messner",USA,English,전체,A film titled CheckmateÂ.,NA,NA,NA,"Action, Crime, Thriller"
294,Faith ConnectionsÂ,N,KVARIETY_119,2013-03-06,Pan Nalin,34801,영화관,1,115,"Bhole Baba, Pant Shirt Baba",India,Hindi,전체,faith ganja kumbh mela,NA,NA,NA,"Biography, Documentary, Drama"
295,CyrusÂ,N,MOVIE_ACTION_SPY,2010-11-08,Jay Duplass,52977,Theater,1,91,"Matt Walsh, Tim Guinee",USA,English,19금,21 year old forename as title musician,NA,NA,NA,"Comedy, Drama, Romance"
296,The Warrior's WayÂ,N,MOVIE_SPORTS_TRACK,2010-05-28,Sngmoo Lee,33296,영화관,1,100,"Tony Cox, Dong-gun Jang",New Zealand,English,19금,bullet time explosion knife throwing,NA,NA,NA,"Action, Fantasy, Western"
297,UnsulliedÂ,N,KDRAMA_040,2014-06-06,Simeon Rice,19821,Theater,1,93,"Ward G. Smith, Lisa Brave",USA,English,19금,A film titled UnsulliedÂ.,NA,NA,NA,"Action, Horror, Thriller"
298,Blood Done Sign My NameÂ,N,KVARIETY_126,2010-01-12,Jeb Stuart,54240,Theater,1,128,"Ricky Schroder, Nate Parker",USA,English,15세,based on autobiography based on novel based on true story,NA,NA,NA,Drama
299,The Outrageous Sophie TuckerÂ,N,KVARIETY_046,2014-08-20,William Gazecki,74714,Theater,1,96,"Carol Channing, Bruce Vilanch",USA,English,전체,A film titled The Outrageous Sophie TuckerÂ.,NA,NA,NA,Documentary
300,Fifty Shades of GreyÂ,N,KVARIETY_103,2015-05-26,Sam Taylor-Johnson,419281,Theater,1,129,"Jennifer Ehle, Luke Grimes",USA,English,19금,female frontal nudity female nudity perversion,NA,NA,NA,"Drama, Romance"
301,Fort McCoyÂ,N,MOVIE_CRIME_FRAUD,2011-02-13,Kate Connor,82270,Theater,1,100,"Johnny Pacar, Eric Stoltz",USA,English,19금,A film titled Fort McCoyÂ.,NA,NA,NA,"Drama, History, War"
302,Mutant WorldÂ,N,KDRAMA_001,2014-12-26,David Winning,36736,영화관,1,82,"Ashanti, Amber Marshall",Canada,English,전체,A film titled Mutant WorldÂ.,NA,NA,NA,Sci-Fi
303,Futuro BeachÂ,N,KVARIETY_182,2014-08-26,Karim AÃ¯nouz,53312,영화관,1,106,"Wagner Moura, Clemens Schick",Brazil,Portuguese,전체,gay male frontal nudity male nudity,NA,NA,NA,Drama
304,We're the MillersÂ,N,KVARIETY_036,2013-08-21,Rawson Marshall Thurber,539712,Theater,1,118,"Laura-Leigh, Molly C. Quinn",USA,English,19금,fake family male frontal nudity marijuana,NA,NA,NA,"Comedy, Crime"
305,The Names of LoveÂ,N,KVARIETY_102,2010-12-12,Michel Leclerc,52109,영화관,1,100,"Sara Forestier, Jacques Gamblin",France,French,19금,activist promiscuous daughter promiscuous woman,NA,NA,NA,"Comedy, Drama, Romance"
306,Her Cry: La Llorona InvestigationÂ,N,KVARIETY_165,2013-08-08,Damir Catic,63256,Theater,1,89,"Nichole Ceballos, Ron Gelner",USA,English,전체,la llorona weeping,NA,NA,NA,Horror
307,AdulterersÂ,N,DRAMA_ROM_NOONA,2015-02-03,H.M. Coakley,36883,Theater,1,91,"Mehcad Brooks, Steffinnie Phrommany",USA,English,전체,cheating husband female nudity male nudity,NA,NA,NA,"Crime, Drama, Thriller"
308,Time to ChooseÂ,N,MOVIE_ANIME_GEN,2015-05-26,Charles Ferguson,60582,Theater,1,100,"Jane Goodall, Jerry Brown",USA,English,전체,A film titled Time to ChooseÂ.,NA,NA,NA,Documentary
309,The Water DivinerÂ,N,MOVIE_ANIME_ACTION,2014-11-19,Russell Crowe,78603,영화관,1,111,"Cem Yilmaz, Ryan Corr",Australia,English,19금,australian battle battle of gallipoli,NA,NA,NA,"Drama, War"
310,CreedÂ,N,MOVIE_COM_FAMILY,2015-09-10,Ryan Coogler,208239,Theater,1,133,"Sylvester Stallone, Phylicia Rashad",USA,English,15세,boxing boxing match fight,NA,NA,NA,"Drama, Sport"
311,Hope SpringsÂ,N,MOVIE_MYST_GEN,2012-12-22,David Frankel,92280,Theater,1,100,"Meryl Streep, Steve Carell",USA,English,15세,couple intimacy marriage,NA,NA,NA,"Comedy, Drama, Romance"
312,Paul Blart: Mall Cop 2Â,N,KVARIETY_190,2015-11-26,Andy Fickman,40500,Theater,1,94,"D.B. Woodside, Daniella Alonso",USA,English,12세,character name in title no opening credits sequel,NA,NA,NA,"Action, Comedy, Crime"
313,AbandonedÂ,N,DRAMA_ROM_FORBIDDEN,2015-03-19,John Laing,69545,영화관,1,86,"Siobhan Marshall, Peter Feeney",New Zealand,English,전체,boat one word title sea,NA,NA,NA,Drama
314,L!fe HappensÂ,N,DRAMA_ACTION_CAR,2011-04-01,Kat Coiro,41115,Theater,1,100,"Justin Kirk, Geoff Stults",USA,English,19금,friendship los angeles california one night stand,NA,NA,NA,Comedy
315,They Came TogetherÂ,N,KVARIETY_099,2014-01-02,David Wain,29973,Theater,1,83,"Christopher Meloni, Amy Poehler",USA,English,19금,halloween party new york city racism,NA,NA,NA,Comedy
316,Chasing MavericksÂ,N,MOVIE_FANTASY_WEREWOLF,2012-09-08,Michael Apted,54637,Theater,1,116,"Gerard Butler, Abigail Spencer",USA,English,12세,box office flop no opening credits surfing,NA,NA,NA,"Biography, Drama, Sport"
317,The Imitation GameÂ,N,DRAMA_SOC_CLASS,2014-04-24,Morten Tyldum,672677,영화관,1,114,"Benedict Cumberbatch, Rory Kinnear",UK,English,15세,crossword puzzle cryptography enigma code,NA,NA,NA,"Biography, Drama, Thriller"
318,Abraham Lincoln: Vampire HunterÂ,N,KDRAMA_031,2012-12-01,Timur Bekmambetov,194226,Theater,1,105,"Rufus Sewell, Dominic Cooper",USA,English,19금,chopping down a tree hanging upside down shopkeeper,NA,NA,NA,"Action, Fantasy, Horror"
319,MaggieÂ,N,MOVIE_COM_GEN,2015-05-18,Henry Hobson,77908,Theater,1,95,"Joely Richardson, J.D. Evermore",USA,English,15세,father daughter relationship playing against type post apocalypse,NA,NA,NA,"Drama, Horror"
320,Higher GroundÂ,N,KDRAMA_015,2011-09-28,Vera Farmiga,97412,Theater,1,109,"Donna Murphy, Bill Irwin",USA,English,19금,1960s belief in the afterlife domestic violence,NA,NA,NA,Drama
321,Bang Bang BabyÂ,N,DRAMA_ROM_GL,2014-12-02,Jeffrey St. Jules,41686,영화관,1,90,"Boyd Banks, Chloe Rose",Canada,English,전체,A film titled Bang Bang BabyÂ.,NA,NA,NA,"Drama, Musical, Sci-Fi"
322,PanÂ,N,DRAMA_ROM_BL,2015-10-02,Joe Wright,94683,Theater,1,111,"Hugh Jackman, Cara Delevingne",USA,English,12세,1940s child hero fantasy world,NA,NA,NA,"Adventure, Family, Fantasy"
323,Perfect CowboyÂ,N,KDRAMA_029,2014-11-04,Ken Roht,82134,Theater,1,109,"Charla Cochran, Joe Lev",USA,English,전체,country singer father son relationship music group,NA,NA,NA,Drama
324,AnonymousÂ,N,DRAMA_MEDICAL_SURGERY,2011-03-11,Roland Emmerich,61007,영화관,1,130,"Vanessa Redgrave, Joely Richardson",UK,English,15세,earl of oxford play queen,NA,NA,NA,"Drama, History, Thriller"
325,Dutch KillsÂ,N,KVARIETY_141,2015-03-06,Joseph Mazzella,34320,Theater,1,90,"Tjasa Ferme, Mikaal Bates",USA,English,전체,A film titled Dutch KillsÂ.,NA,NA,NA,"Crime, Drama, Thriller"
326,Mars Needs MomsÂ,N,MOVIE_DOC_GEN,2011-10-23,Simon Wells,28000,Theater,1,88,"Elisabeth Harnois, Dan Fogler",USA,English,12세,boy martian rescue,NA,NA,NA,"Action, Adventure, Animation"
327,ComplianceÂ,N,KVARIETY_151,2012-02-26,Craig Zobel,48086,Theater,1,90,"Dreama Walker, Matt Servitto",USA,English,19금,authority boss subordinate relationship fast food restaurant,NA,NA,NA,"Biography, Crime, Drama"
328,"I, FrankensteinÂ",N,KVARIETY_116,2014-06-04,Stuart Beattie,81520,영화관,1,92,"Caitlin Stasey, Kevin Grevioux",Australia,English,15세,army creature demon,NA,NA,NA,"Action, Fantasy, Sci-Fi"
329,PriestÂ,N,KVARIETY_182,2011-10-26,Scott Stewart,174557,Theater,1,87,"Josh Wingate, Alan Dale",USA,English,15세,church priest sheriff,NA,NA,NA,"Action, Fantasy, Horror"
330,A True StoryÂ,N,KVARIETY_024,2013-02-02,Malcolm Goodwin,22806,Theater,1,96,"Katrina Bowden, Jon Gries",USA,English,전체,ellipsis in title long title period in title,NA,NA,NA,Comedy
331,A Million Ways to Die in the WestÂ,N,MOVIE_ANIME_BOYS,2014-07-28,Seth MacFarlane,146185,Theater,1,136,"Liam Neeson, Charlize Theron",USA,English,19금,dancing sheep fetish musical scene,NA,NA,NA,"Comedy, Western"
332,The WatchÂ,N,KVARIETY_132,2012-02-14,Akiva Schaffer,204534,Theater,1,102,"Will Forte, Nicholas Braun",USA,English,19금,alien escape manager,NA,NA,NA,"Action, Comedy, Sci-Fi"
333,Grace of MonacoÂ,N,KDRAMA_006,2014-03-20,Olivier Dahan,43211,영화관,1,103,"Paz Vega, Frank Langella",Switzerland,English,전체,1960s grace kelly hollywood star,NA,NA,NA,"Biography, Drama, Romance"
334,Baahubali: The BeginningÂ,N,MOVIE_ACTION_GEN,2015-12-06,S.S. Rajamouli,64381,영화관,1,159,"Tamannaah Bhatia, Anushka Shetty",India,Telugu,전체,ancient india dual role good versus evil,NA,NA,NA,"Action, Adventure, Drama"
335,Welcome to the RileysÂ,N,KDRAMA_064,2010-04-19,Jake Scott,35968,영화관,1,110,"Kristen Stewart, Ally Sheedy",UK,English,19금,businessman prostitute street,NA,NA,NA,Drama
336,The Little PrinceÂ,N,KVARIETY_176,2015-12-16,Mark Osborne,79201,영화관,1,108,"Jeff Bridges, James Franco",France,English,12세,aviator based on book girl,NA,NA,NA,"Adventure, Animation, Drama"
337,The Adventures of TintinÂ,N,KVARIETY_155,2011-05-27,Steven Spielberg,345896,Theater,1,107,"Toby Jones, Mackenzie Crook",USA,English,12세,captain morocco ship,NA,NA,NA,"Action, Adventure, Family"
338,No Strings AttachedÂ,N,KDRAMA_017,2011-12-07,Ivan Reitman,292966,Theater,1,108,"Natalie Portman, Greta Gerwig",USA,English,19금,ex girlfriend funeral hospital,NA,NA,NA,"Comedy, Romance"
339,Eddie the EagleÂ,N,KVARIETY_166,2016-03-13,Dexter Fletcher,52958,영화관,1,106,"Hugh Jackman, Taron Egerton",UK,English,15세,1988 winter olympics coach ski jumper,NA,NA,NA,"Biography, Comedy, Drama"
340,Seventh SonÂ,N,MOVIE_COM_GEN,2014-05-23,Sergey Bodrov,98213,Theater,1,102,"Jeff Bridges, Djimon Hounsou",USA,English,15세,apprentice demon exorcism,NA,NA,NA,"Action, Adventure, Fantasy"
341,Sausage PartyÂ,N,KDRAMA_034,2016-08-05,Greg Tiernan,94990,Theater,1,89,"James Franco, Salma Hayek",USA,English,19금,bread coarse language f word,NA,NA,NA,"Adventure, Animation, Comedy"
342,The Transporter RefueledÂ,N,KVARIETY_075,2015-02-28,Camille Delamarre,40870,영화관,1,96,"Ed Skrein, NoÃ©mie Lenoir",France,English,15세,airfield car car stunt,NA,NA,NA,"Action, Crime, Thriller"
343,AmnesiacÂ,N,KVARIETY_026,2014-09-13,Michael Polish,37047,Theater,1,90,"Olivia Rose Keegan, Patrick Bauchau",USA,English,전체,child in peril electroshock therapy memory,NA,NA,NA,"Drama, Horror, Mystery"
344,FuglyÂ,N,MOVIE_THR_SUPERNATURAL,2014-05-15,Kabir Sadanand,15396,영화관,1,134,"Jimmy Shergill, Sana Saeed",India,Hindi,전체,A film titled FuglyÂ.,NA,NA,NA,"Drama, Thriller"
345,The Lion of JudahÂ,N,DRAMA_ACTION_ZOMBIE,2011-03-06,Deryck Broom,85765,Theater,1,87,"Vic Mignogna, Omar Benson Miller",USA,English,12세,animal donkey lamb,NA,NA,NA,Animation
346,Trouble with the CurveÂ,N,MOVIE_SPORTS_BOXING,2012-06-01,Robert Lorenz,90241,Theater,1,111,"Clint Eastwood, Ed Lauter",USA,English,15세,aging baseball baseball scout,NA,NA,NA,"Drama, Sport"
347,Salvation BoulevardÂ,N,KVARIETY_053,2011-12-11,George Ratliff,44021,Theater,1,96,"Jim Gaffigan, Cree Kelly",USA,English,19금,cross doused with gasoline pastor,NA,NA,NA,"Action, Comedy, Drama"
348,StokerÂ,N,KDRAMA_080,2013-05-26,Chan-wook Park,99237,영화관,1,99,"Mia Wasikowska, Alden Ehrenreich",UK,English,19금,death hitchcockian psychopath,NA,NA,NA,"Drama, Thriller"
349,The Horror Network Vol. 1Â,N,DRAMA_SF_CYBERPUNK,2015-02-02,Brian Dorton,94509,Theater,1,97,"Javier Botet, Brian Dorton",USA,English,전체,anthology,NA,NA,NA,Horror
350,X-Men: Days of Future PastÂ,N,DRAMA_SCHOOL_GEN,2014-03-21,Bryan Singer,703897,Theater,1,149,"Jennifer Lawrence, Peter Dinklage",USA,English,15세,dystopia super strength supernatural power,NA,NA,NA,"Action, Adventure, Fantasy"
351,AlohaÂ,N,MOVIE_FANTASY_GRIMREAPER,2015-08-02,Cameron Crowe,84211,Theater,1,105,"Emma Stone, Bradley Cooper",USA,English,15세,box office flop critically bashed hawaii,NA,NA,NA,"Comedy, Drama, Romance"
352,Yogi BearÂ,N,MOVIE_FANTASY_MYTH,2010-06-04,Eric Brevig,77972,Theater,1,80,"Justin Timberlake, Tom Cavanagh",USA,English,12세,bear mayor park,NA,NA,NA,"Adventure, Animation, Comedy"
353,Code of HonorÂ,N,KVARIETY_100,2016-09-17,Michael Winnick,57650,Theater,1,106,"Scott Takeda, Helena Mattsson",USA,English,19금,gun mayor nightclub,NA,NA,NA,Action
