id,content_name,is_ott,∫–∑˘ƒ⁄µÂ,∞≥∫¿¿œ,∞®µ∂_π◊_PD,Ω√√ª¿⁄ºˆ,platform,episode_total,episode_length,cast,origin_country,lang,rating,synopsis,poster_url,ott_availability,awards,tags
262,The Other Dream Team,N,KVARIETY_009,2012-11-23,Marius A. Markevicius,536250,Theater,1,89,"Tommy Sheppard, Greg Speirs",USA,English,¿¸√º,basketball basketball team grateful dead,NA,NA,NA,"Documentary, Sport"
263,Enter the Dangerous Mind,N,MOVIE_MYST_GEN,2013-03-02,Youssef Delara,89867,Theater,1,88,"Noel Gugliemi, David Bianchi",USA,English,¿¸√º,dubstep tied feet,NA,NA,NA,Thriller
264,Archaeology of a Woman,N,KVARIETY_133,2012-04-24,Sharon Greytak,30116,Theater,1,94,"Sally Kirkland, Alex Emanuel",USA,English,¿¸√º,A film titled Archaeology of a Woman.,NA,NA,NA,Drama
265,"As Above, So Below",N,KVARIETY_174,2014-11-22,John Erick Dowdle,466871,Theater,1,93,"Ben Feldman, Edwin Hodge",USA,English,19±›,archeologist catacomb found footage,NA,NA,NA,"Horror, Mystery, Thriller"
266,The Tree of Life,N,MOVIE_ROM_YOUTH,2011-10-02,Terrence Malick,441738,Theater,1,139,"Brad Pitt, Tye Sheridan",USA,English,15ºº,1950s children ice cube,NA,NA,NA,"Drama, Fantasy"
267,The Book of Eli,N,KVARIETY_160,2010-09-08,Albert Hughes,413850,Theater,1,118,"Denzel Washington, Mila Kunis",USA,English,19±›,blind book long take,NA,NA,NA,"Action, Adventure, Drama"
268,Taken 2,N,MOVIE_ANIME_BOYS,2012-11-18,Olivier Megaton,559054,øµ»≠∞¸,1,98,"Liam Neeson, Luke Grimes",France,English,15ºº,albanian revenge revenge motive,NA,NA,NA,"Action, Crime, Thriller"
269,Take Shelter,N,KVARIETY_100,2011-07-23,Jeff Nichols,289237,Theater,1,121,"Katy Mixon, Shea Whigham",USA,English,19±›,ambiguous ending firefly mysterious event,NA,NA,NA,"Drama, Thriller"
270,The Image Revolution,N,KVARIETY_031,2014-02-21,Patrick Meaney,586424,Theater,1,81,"Taliesin Jaffe, Greg Aronowitz",USA,English,¿¸√º,comic book comic book history comics,NA,NA,NA,"Biography, Documentary"
271,Big Hero 6,N,MOVIE_MUSIC_ROCK,2014-01-11,Don Hall,480334,Theater,1,102,"Damon Wayans Jr., Daniel Henney",USA,English,12ºº,high tech martial arts masked man,NA,NA,NA,"Action, Adventure, Animation"
272,Winnie the Pooh,N,DRAMA_WORK_POLITICS,2011-05-19,Stephen J. Anderson,371087,Theater,1,63,"Craig Ferguson, Robert Lopez",USA,English,¿¸√º,disney owl rabbit,NA,NA,NA,"Adventure, Animation, Comedy"
273,The Prince,N,KDRAMA_052,2014-11-04,Brian A Miller,465402,Theater,1,93,"Bruce Willis, 50 Cent",USA,English,19±›,assassin fight mechanic,NA,NA,NA,"Action, Thriller"
274,Before Midnight,N,KDRAMA_056,2013-10-07,Richard Linklater,139661,Theater,1,109,"Seamus Davey-Fitzpatrick, Ariane Labed",USA,English,19±›,friend greece greek,NA,NA,NA,"Drama, Romance"
275,Red Lights,N,KVARIETY_170,2012-11-20,Rodrigo Cort??s,538663,øµ»≠∞¸,1,114,"Robert De Niro, Toby Jones",Spain,English,19±›,fraud physicist psychic,NA,NA,NA,"Drama, Horror, Mystery"
276,Getaway,N,KVARIETY_056,2013-07-25,Courtney Solomon,590606,Theater,1,90,"Rebecca Budig, Paul Freeman",USA,English,15ºº,die hard scenario earth viewed from space race against time,NA,NA,NA,"Action, Crime, Thriller"
277,Silent House,N,KVARIETY_047,2011-04-19,Chris Kentis,288870,øµ»≠∞¸,1,86,"Eric Sheffer Stevens, Julia Taylor Ross",France,English,19±›,bound and gagged girl haunted house,NA,NA,NA,"Drama, Horror, Mystery"
278,We Have Your Husband,N,MOVIE_COM_MOCKU,2011-02-17,Eric Bross,256573,Theater,1,87,"Teri Polo, Esai Morales",USA,English,12ºº,abduction based on true story mexico,NA,NA,NA,"Crime, Drama, Thriller"
279,How to Fall in Love,N,MOVIE_DOC_BIO,2012-07-08,Mark Griffiths,504454,Theater,1,84,"Eric Mabius, Gina Holden",USA,English,¿¸√º,A film titled How to Fall in Love.,NA,NA,NA,"Comedy, Romance"
280,Silver Linings Playbook,N,KDRAMA_028,2012-07-04,David O. Russell,807429,Theater,1,122,"Jennifer Lawrence, Robert De Niro",USA,English,19±›,adulterous wife bipolar disorder obsessive compulsive personality disorder,NA,NA,NA,"Comedy, Drama, Romance"
281,Subconscious,N,KDRAMA_078,2015-05-10,Georgia Hilton,378423,Theater,1,122,"Mike Beckingham, Tim Abell",USA,English,19±›,military submarine suspense,NA,NA,NA,"Action, Mystery, Thriller"
282,St. Vincent,N,MOVIE_ACTION_HISTORICAL,2014-10-18,Theodore Melfi,464439,Theater,1,102,"Bill Murray, Naomi Watts",USA,English,15ºº,bullying grumpy old man school presentation,NA,NA,NA,"Comedy, Drama"
283,Celeste & Jesse Forever,N,KDRAMA_092,2012-07-07,Lee Toland Krieger,364449,Theater,1,92,"Ari Graynor, Janel Parrish",USA,English,19±›,best friends friendship masturbation,NA,NA,NA,"Comedy, Drama, Romance"
284,Hercules,N,DRAMA_FANTASY_HISTORICAL,2014-04-20,Brett Ratner,258600,Theater,1,101,"Dwayne Johnson, Rufus Sewell",USA,English,15ºº,army greek mythology hercules,NA,NA,NA,"Action, Adventure"
285,While We're Young,N,KVARIETY_036,2014-06-24,Noah Baumbach,266881,Theater,1,97,"Naomi Watts, Maria Dizzia",USA,English,19±›,documentary filmmaker documentary filmmaking father in law,NA,NA,NA,"Comedy, Drama"
286,Mirror Mirror,N,KVARIETY_193,2012-01-28,Tarsem Singh,170794,Theater,1,106,"Julia Roberts, Nathan Lane",USA,English,12ºº,kingdom prince princess,NA,NA,NA,"Adventure, Comedy, Drama"
287,Obvious Child,N,MOVIE_CRIME_GEN,2014-03-06,Gillian Robespierre,281073,Theater,1,84,"Gaby Hoffmann, Jenny Slate",USA,English,19±›,abortion divorced parents one night stand,NA,NA,NA,"Comedy, Drama"
288,The Wolfman,N,KDRAMA_051,2010-04-03,Joe Johnston,289884,Theater,1,119,"Anthony Hopkins, Simon Merrells",USA,English,19±›,asylum death full moon,NA,NA,NA,"Drama, Fantasy, Horror"
289,Oz the Great and Powerful,N,KVARIETY_100,2013-09-26,Sam Raimi,240203,Theater,1,130,"Tim Holmes, Mila Kunis",USA,English,12ºº,circus magic magician,NA,NA,NA,"Adventure, Family, Fantasy"
290,Clash of the Titans,N,KDRAMA_064,2010-05-17,Louis Leterrier,303574,Theater,1,106,"Liam Neeson, Jason Flemyng",USA,English,15ºº,famous line hand to hand combat kraken,NA,NA,NA,"Action, Adventure, Fantasy"
291,Vaalu,N,MOVIE_MUSIC_GEN,2015-09-25,Vijay Chandar,438017,øµ»≠∞¸,1,155,"Hansika Motwani, T.R. Silambarasan",India,Tamil,¿¸√º,A film titled Vaalu.,NA,NA,NA,"Comedy, Romance"
292,Salt,N,DRAMA_SF_ALIEN,2010-04-09,Phillip Noyce,439755,Theater,1,101,"Angelina Jolie Pitt, Andre Braugher",USA,English,15ºº,cia on the run russian,NA,NA,NA,"Action, Crime, Mystery"
293,Checkmate,N,MOVIE_COM_SLAPSTICK,2015-04-04,Timothy Woodward Jr.,537645,Theater,1,97,"Katrina Law, Johnny Messner",USA,English,¿¸√º,A film titled Checkmate.,NA,NA,NA,"Action, Crime, Thriller"
294,Faith Connections,N,KVARIETY_151,2013-07-19,Pan Nalin,261996,øµ»≠∞¸,1,115,"Bhole Baba, Pant Shirt Baba",India,Hindi,¿¸√º,faith ganja kumbh mela,NA,NA,NA,"Biography, Documentary, Drama"
295,Cyrus,N,KVARIETY_083,2010-02-05,Jay Duplass,62749,Theater,1,91,"Matt Walsh, Tim Guinee",USA,English,19±›,21 year old forename as title musician,NA,NA,NA,"Comedy, Drama, Romance"
296,The Warrior's Way,N,KVARIETY_039,2010-06-22,Sngmoo Lee,450445,øµ»≠∞¸,1,100,"Tony Cox, Dong-gun Jang",New Zealand,English,19±›,bullet time explosion knife throwing,NA,NA,NA,"Action, Fantasy, Western"
297,Unsullied,N,KDRAMA_026,2014-02-09,Simeon Rice,411965,Theater,1,93,"Ward G. Smith, Lisa Brave",USA,English,19±›,A film titled Unsullied.,NA,NA,NA,"Action, Horror, Thriller"
298,Blood Done Sign My Name,N,KDRAMA_073,2010-12-01,Jeb Stuart,105297,Theater,1,128,"Ricky Schroder, Nate Parker",USA,English,15ºº,based on autobiography based on novel based on true story,NA,NA,NA,Drama
299,The Outrageous Sophie Tucker,N,KVARIETY_058,2014-08-11,William Gazecki,569597,Theater,1,96,"Carol Channing, Bruce Vilanch",USA,English,¿¸√º,A film titled The Outrageous Sophie Tucker.,NA,NA,NA,Documentary
300,Fifty Shades of Grey,N,KVARIETY_078,2015-12-18,Sam Taylor-Johnson,388631,Theater,1,129,"Jennifer Ehle, Luke Grimes",USA,English,19±›,female frontal nudity female nudity perversion,NA,NA,NA,"Drama, Romance"
301,Fort McCoy,N,KVARIETY_094,2011-02-15,Kate Connor,448929,Theater,1,100,"Johnny Pacar, Eric Stoltz",USA,English,19±›,A film titled Fort McCoy.,NA,NA,NA,"Drama, History, War"
302,Mutant World,N,MOVIE_SPORTS_SKATE,2014-09-22,David Winning,263246,øµ»≠∞¸,1,82,"Ashanti, Amber Marshall",Canada,English,¿¸√º,A film titled Mutant World.,NA,NA,NA,Sci-Fi
303,Futuro Beach,N,KVARIETY_083,2014-12-19,Karim A??nouz,198701,øµ»≠∞¸,1,106,"Wagner Moura, Clemens Schick",Brazil,Portuguese,¿¸√º,gay male frontal nudity male nudity,NA,NA,NA,Drama
304,We're the Millers,N,KDRAMA_064,2013-04-27,Rawson Marshall Thurber,601989,Theater,1,118,"Laura-Leigh, Molly C. Quinn",USA,English,19±›,fake family male frontal nudity marijuana,NA,NA,NA,"Comedy, Crime"
305,The Names of Love,N,KVARIETY_069,2010-12-12,Michel Leclerc,473844,øµ»≠∞¸,1,100,"Sara Forestier, Jacques Gamblin",France,French,19±›,activist promiscuous daughter promiscuous woman,NA,NA,NA,"Comedy, Drama, Romance"
306,Her Cry: La Llorona Investigation,N,DRAMA_THR_TECH,2013-07-26,Damir Catic,207487,Theater,1,89,"Nichole Ceballos, Ron Gelner",USA,English,¿¸√º,la llorona weeping,NA,NA,NA,Horror
307,Adulterers,N,KVARIETY_163,2015-08-18,H.M. Coakley,197575,Theater,1,91,"Mehcad Brooks, Steffinnie Phrommany",USA,English,¿¸√º,cheating husband female nudity male nudity,NA,NA,NA,"Crime, Drama, Thriller"
308,Time to Choose,N,KVARIETY_003,2015-08-22,Charles Ferguson,402733,Theater,1,100,"Jane Goodall, Jerry Brown",USA,English,¿¸√º,A film titled Time to Choose.,NA,NA,NA,Documentary
309,The Water Diviner,N,MOVIE_CRIME_HOSTAGE,2014-03-08,Russell Crowe,544461,øµ»≠∞¸,1,111,"Cem Yilmaz, Ryan Corr",Australia,English,19±›,australian battle battle of gallipoli,NA,NA,NA,"Drama, War"
310,Creed,N,DRAMA_MYST_CONSPIRACY,2015-08-09,Ryan Coogler,243540,Theater,1,133,"Sylvester Stallone, Phylicia Rashad",USA,English,15ºº,boxing boxing match fight,NA,NA,NA,"Drama, Sport"
311,Hope Springs,N,MOVIE_SPORTS_MOTOR,2012-04-18,David Frankel,338646,Theater,1,100,"Meryl Streep, Steve Carell",USA,English,15ºº,couple intimacy marriage,NA,NA,NA,"Comedy, Drama, Romance"
312,Paul Blart: Mall Cop 2,N,MOVIE_ANIME_MYSTERY,2015-10-28,Andy Fickman,389890,Theater,1,94,"D.B. Woodside, Daniella Alonso",USA,English,12ºº,character name in title no opening credits sequel,NA,NA,NA,"Action, Comedy, Crime"
313,Abandoned,N,KVARIETY_082,2015-12-15,John Laing,417388,øµ»≠∞¸,1,86,"Siobhan Marshall, Peter Feeney",New Zealand,English,¿¸√º,boat one word title sea,NA,NA,NA,Drama
314,L!fe Happens,N,KVARIETY_009,2011-03-13,Kat Coiro,550520,Theater,1,100,"Justin Kirk, Geoff Stults",USA,English,19±›,friendship los angeles california one night stand,NA,NA,NA,Comedy
315,They Came Together,N,KVARIETY_133,2014-05-26,David Wain,366642,Theater,1,83,"Christopher Meloni, Amy Poehler",USA,English,19±›,halloween party new york city racism,NA,NA,NA,Comedy
316,Chasing Mavericks,N,MOVIE_MUSIC_IDOL,2012-08-24,Michael Apted,146106,Theater,1,116,"Gerard Butler, Abigail Spencer",USA,English,12ºº,box office flop no opening credits surfing,NA,NA,NA,"Biography, Drama, Sport"
317,The Imitation Game,N,DRAMA_FANTASY_VAMPIRE,2014-08-13,Morten Tyldum,572048,øµ»≠∞¸,1,114,"Benedict Cumberbatch, Rory Kinnear",UK,English,15ºº,crossword puzzle cryptography enigma code,NA,NA,NA,"Biography, Drama, Thriller"
318,Abraham Lincoln: Vampire Hunter,N,KVARIETY_002,2012-05-16,Timur Bekmambetov,211061,Theater,1,105,"Rufus Sewell, Dominic Cooper",USA,English,19±›,chopping down a tree hanging upside down shopkeeper,NA,NA,NA,"Action, Fantasy, Horror"
319,Maggie,N,KDRAMA_064,2015-03-02,Henry Hobson,68982,Theater,1,95,"Joely Richardson, J.D. Evermore",USA,English,15ºº,father daughter relationship playing against type post apocalypse,NA,NA,NA,"Drama, Horror"
320,Higher Ground,N,KDRAMA_016,2011-02-09,Vera Farmiga,153958,Theater,1,109,"Donna Murphy, Bill Irwin",USA,English,19±›,1960s belief in the afterlife domestic violence,NA,NA,NA,Drama
321,Bang Bang Baby,N,KVARIETY_032,2014-09-12,Jeffrey St. Jules,463182,øµ»≠∞¸,1,90,"Boyd Banks, Chloe Rose",Canada,English,¿¸√º,A film titled Bang Bang Baby.,NA,NA,NA,"Drama, Musical, Sci-Fi"
322,Pan,N,KDRAMA_001,2015-04-15,Joe Wright,563430,Theater,1,111,"Hugh Jackman, Cara Delevingne",USA,English,12ºº,1940s child hero fantasy world,NA,NA,NA,"Adventure, Family, Fantasy"
323,Perfect Cowboy,N,KVARIETY_021,2014-10-16,Ken Roht,487360,Theater,1,109,"Charla Cochran, Joe Lev",USA,English,¿¸√º,country singer father son relationship music group,NA,NA,NA,Drama
324,Anonymous,N,MOVIE_MUSIC_IDOL,2011-12-26,Roland Emmerich,58947,øµ»≠∞¸,1,130,"Vanessa Redgrave, Joely Richardson",UK,English,15ºº,earl of oxford play queen,NA,NA,NA,"Drama, History, Thriller"
325,Dutch Kills,N,KVARIETY_045,2015-11-01,Joseph Mazzella,38161,Theater,1,90,"Tjasa Ferme, Mikaal Bates",USA,English,¿¸√º,A film titled Dutch Kills.,NA,NA,NA,"Crime, Drama, Thriller"
326,Mars Needs Moms,N,DRAMA_FAM_ADOPTION,2011-01-26,Simon Wells,350776,Theater,1,88,"Elisabeth Harnois, Dan Fogler",USA,English,12ºº,boy martian rescue,NA,NA,NA,"Action, Adventure, Animation"
327,Compliance,N,MOVIE_MYST_SUPERNATURAL,2012-12-28,Craig Zobel,34403,Theater,1,90,"Dreama Walker, Matt Servitto",USA,English,19±›,authority boss subordinate relationship fast food restaurant,NA,NA,NA,"Biography, Crime, Drama"
328,"I, Frankenstein",N,DRAMA_HORROR_BODYHORROR,2014-05-27,Stuart Beattie,218437,øµ»≠∞¸,1,92,"Caitlin Stasey, Kevin Grevioux",Australia,English,15ºº,army creature demon,NA,NA,NA,"Action, Fantasy, Sci-Fi"
329,Priest,N,KDRAMA_074,2011-05-10,Scott Stewart,345236,Theater,1,87,"Josh Wingate, Alan Dale",USA,English,15ºº,church priest sheriff,NA,NA,NA,"Action, Fantasy, Horror"
330,A True Story,N,MOVIE_SPORTS_ESPORTS,2013-12-03,Malcolm Goodwin,448794,Theater,1,96,"Katrina Bowden, Jon Gries",USA,English,¿¸√º,ellipsis in title long title period in title,NA,NA,NA,Comedy
331,A Million Ways to Die in the West,N,MOVIE_ANIME_HISTORICAL,2014-02-24,Seth MacFarlane,376322,Theater,1,136,"Liam Neeson, Charlize Theron",USA,English,19±›,dancing sheep fetish musical scene,NA,NA,NA,"Comedy, Western"
332,The Watch,N,MOVIE_ACTION_POLICE,2012-06-11,Akiva Schaffer,570564,Theater,1,102,"Will Forte, Nicholas Braun",USA,English,19±›,alien escape manager,NA,NA,NA,"Action, Comedy, Sci-Fi"
333,Grace of Monaco,N,KDRAMA_063,2014-11-18,Olivier Dahan,346820,øµ»≠∞¸,1,103,"Paz Vega, Frank Langella",Switzerland,English,¿¸√º,1960s grace kelly hollywood star,NA,NA,NA,"Biography, Drama, Romance"
334,Baahubali: The Beginning,N,MOVIE_MUSIC_GEN,2015-11-19,S.S. Rajamouli,527331,øµ»≠∞¸,1,159,"Tamannaah Bhatia, Anushka Shetty",India,Telugu,¿¸√º,ancient india dual role good versus evil,NA,NA,NA,"Action, Adventure, Drama"
335,Welcome to the Rileys,N,DRAMA_ACTION_MILITARY,2010-01-16,Jake Scott,435554,øµ»≠∞¸,1,110,"Kristen Stewart, Ally Sheedy",UK,English,19±›,businessman prostitute street,NA,NA,NA,Drama
336,The Little Prince,N,DRAMA_CRIME_HOSTAGE,2015-11-10,Mark Osborne,372897,øµ»≠∞¸,1,108,"Jeff Bridges, James Franco",France,English,12ºº,aviator based on book girl,NA,NA,NA,"Adventure, Animation, Drama"
337,The Adventures of Tintin,N,KDRAMA_019,2011-08-13,Steven Spielberg,263527,Theater,1,107,"Toby Jones, Mackenzie Crook",USA,English,12ºº,captain morocco ship,NA,NA,NA,"Action, Adventure, Family"
338,No Strings Attached,N,MOVIE_DOC_POLITICS,2011-03-25,Ivan Reitman,304260,Theater,1,108,"Natalie Portman, Greta Gerwig",USA,English,19±›,ex girlfriend funeral hospital,NA,NA,NA,"Comedy, Romance"
339,Eddie the Eagle,N,KVARIETY_008,2016-03-10,Dexter Fletcher,472624,øµ»≠∞¸,1,106,"Hugh Jackman, Taron Egerton",UK,English,15ºº,1988 winter olympics coach ski jumper,NA,NA,NA,"Biography, Comedy, Drama"
340,Seventh Son,N,DRAMA_HORROR_ZOMBIE,2014-10-07,Sergey Bodrov,590661,Theater,1,102,"Jeff Bridges, Djimon Hounsou",USA,English,15ºº,apprentice demon exorcism,NA,NA,NA,"Action, Adventure, Fantasy"
341,Sausage Party,N,KVARIETY_104,2016-10-21,Greg Tiernan,391043,Theater,1,89,"James Franco, Salma Hayek",USA,English,19±›,bread coarse language f word,NA,NA,NA,"Adventure, Animation, Comedy"
342,The Transporter Refueled,N,DRAMA_SCHOOL_BULLYING,2015-03-26,Camille Delamarre,38321,øµ»≠∞¸,1,96,"Ed Skrein, No??mie Lenoir",France,English,15ºº,airfield car car stunt,NA,NA,NA,"Action, Crime, Thriller"
343,Amnesiac,N,MOVIE_DOC_SCIENCE,2014-05-20,Michael Polish,506570,Theater,1,90,"Olivia Rose Keegan, Patrick Bauchau",USA,English,¿¸√º,child in peril electroshock therapy memory,NA,NA,NA,"Drama, Horror, Mystery"
344,Fugly,N,KVARIETY_057,2014-03-20,Kabir Sadanand,64636,øµ»≠∞¸,1,134,"Jimmy Shergill, Sana Saeed",India,Hindi,¿¸√º,A film titled Fugly.,NA,NA,NA,"Drama, Thriller"
345,The Lion of Judah,N,KVARIETY_082,2011-07-12,Deryck Broom,271849,Theater,1,87,"Vic Mignogna, Omar Benson Miller",USA,English,12ºº,animal donkey lamb,NA,NA,NA,Animation
346,Trouble with the Curve,N,KDRAMA_096,2012-12-14,Robert Lorenz,130799,Theater,1,111,"Clint Eastwood, Ed Lauter",USA,English,15ºº,aging baseball baseball scout,NA,NA,NA,"Drama, Sport"
347,Salvation Boulevard,N,KVARIETY_199,2011-08-07,George Ratliff,597087,Theater,1,96,"Jim Gaffigan, Cree Kelly",USA,English,19±›,cross doused with gasoline pastor,NA,NA,NA,"Action, Comedy, Drama"
348,Stoker,N,DRAMA_SF_CYBERPUNK,2013-01-11,Chan-wook Park,503418,øµ»≠∞¸,1,99,"Mia Wasikowska, Alden Ehrenreich",UK,English,19±›,death hitchcockian psychopath,NA,NA,NA,"Drama, Thriller"
349,The Horror Network Vol. 1,N,KVARIETY_086,2015-01-04,Brian Dorton,231042,Theater,1,97,"Javier Botet, Brian Dorton",USA,English,¿¸√º,anthology,NA,NA,NA,Horror
350,X-Men: Days of Future Past,N,DRAMA_CRIME_POLICE,2014-03-05,Bryan Singer,537399,Theater,1,149,"Jennifer Lawrence, Peter Dinklage",USA,English,15ºº,dystopia super strength supernatural power,NA,NA,NA,"Action, Adventure, Fantasy"
351,Aloha,N,KVARIETY_025,2015-09-03,Cameron Crowe,116060,Theater,1,105,"Emma Stone, Bradley Cooper",USA,English,15ºº,box office flop critically bashed hawaii,NA,NA,NA,"Comedy, Drama, Romance"
352,Yogi Bear,N,DRAMA_FAM_MULTIGENER,2010-07-13,Eric Brevig,570888,Theater,1,80,"Justin Timberlake, Tom Cavanagh",USA,English,12ºº,bear mayor park,NA,NA,NA,"Adventure, Animation, Comedy"
353,Code of Honor,N,KDRAMA_091,2016-06-17,Michael Winnick,285621,Theater,1,106,"Scott Takeda, Helena Mattsson",USA,English,19±›,gun mayor nightclub,NA,NA,NA,Action
354,8 Days,N,KDRAMA_059,2014-07-06,Jaco Booyens,572819,Theater,1,90,"Nicole Smolen, Sebastian Aguilar",USA,English,15ºº,A film titled 8 Days.,NA,NA,NA,"Drama, Thriller"
355,The Last Godfather,N,DRAMA_WORK_CONSTRUCTION,2010-10-15,Hyung-rae Shim,76447,øµ»≠∞¸,1,100,"Jason Mewes, Stephanie Danielson",South Korea,English,15ºº,mafia mafia boss mafiosi,NA,NA,NA,Comedy
356,A Monster in Paris,N,KVARIETY_086,2011-11-26,Bibo Bergeron,499232,øµ»≠∞¸,1,90,"Adam Goldberg, Bob Balaban",France,French,12ºº,belle epoque city name in title monster,NA,NA,NA,"Adventure, Animation, Comedy"
357,The Runaways,N,KDRAMA_027,2010-05-16,Floria Sigismondi,446418,Theater,1,106,"Kristen Stewart, Scout Taylor-Compton",USA,English,19±›,band box office flop critically bashed,NA,NA,NA,"Biography, Drama, Music"
358,The Mechanic,N,KDRAMA_077,2011-03-25,Simon West,589918,Theater,1,93,"Jason Statham, Tony Goldwyn",USA,English,19±›,apprentice disobeying orders gas station,NA,NA,NA,"Action, Crime, Thriller"
359,Fantastic Four,N,KDRAMA_023,2015-04-03,Josh Trank,311942,Theater,1,100,"Tim Blake Nelson, Reg E. Cathey",USA,English,15ºº,box office flop critically bashed portal,NA,NA,NA,"Action, Adventure, Sci-Fi"
360,Red Riding Hood,N,MOVIE_FANTASY_DRAGON,2011-12-07,Catherine Hardwicke,440165,Theater,1,100,"Gary Oldman, Billy Burke",USA,English,15ºº,death forest love,NA,NA,NA,"Fantasy, Horror, Mystery"
361,No Vacancy,N,KVARIETY_122,2012-02-12,Chris Stokes,208697,Theater,1,81,"Kristen Quintrall, Rachel Sterling",USA,English,19±›,motel psychopath psychopathic killer,NA,NA,NA,Horror
362,The Young and Prodigious T.S. Spivet,N,MOVIE_ROM_HISTORICAL,2013-10-12,Jean-Pierre Jeunet,35082,øµ»≠∞¸,1,105,"Callum Rennie, Julian Richings",France,English,12ºº,3 dimensional cartographer punctuation in title,NA,NA,NA,"Action, Adventure, Drama"
363,One Day,N,KDRAMA_021,2011-03-14,Lone Scherfig,231077,Theater,1,107,"Anne Hathaway, Jim Sturgess",USA,English,15ºº,23 year time span accidental death best friend,NA,NA,NA,"Drama, Romance"
364,A Lego Brickumentary,N,DRAMA_HORROR_BODYHORROR,2014-01-11,Kief Davidson,202310,øµ»≠∞¸,1,93,"G.W. Krauss, Brian Whitaker",Denmark,English,¿¸√º,artist denmark lego,NA,NA,NA,Documentary
365,Atlas Shrugged II: The Strike,N,KVARIETY_025,2012-03-22,John Putch,197316,Theater,1,111,"Robert Picardo, Diedrich Bader",USA,English,15ºº,box office flop critically bashed government,NA,NA,NA,"Drama, Mystery, Sci-Fi"
366,Kung Fu Panda 2,N,KDRAMA_013,2011-11-18,Jennifer Yuh Nelson,273996,Theater,1,90,"Angelina Jolie Pitt, Gary Oldman",USA,English,12ºº,china kung fu panda,NA,NA,NA,"Action, Adventure, Animation"
367,What's Your Number?,N,DRAMA_HORROR_ZOMBIE,2011-02-19,Mark Mylod,116780,Theater,1,117,"Chris Evans, Ari Graynor",USA,English,19±›,ex boyfriend morning after prince charming,NA,NA,NA,"Comedy, Romance"
368,The Jungle Book,N,KVARIETY_149,2016-07-22,Jon Favreau,316696,øµ»≠∞¸,1,106,"Scarlett Johansson, Bill Murray",UK,English,12ºº,fire jungle remake,NA,NA,NA,"Adventure, Drama, Family"
369,Django Unchained,N,KVARIETY_156,2012-02-23,Quentin Tarantino,1304367,Theater,1,165,"Leonardo DiCaprio, Christoph Waltz",USA,English,19±›,dynamite historically inaccurate ku klux klan,NA,NA,NA,"Drama, Western"
370,Burn,N,KDRAMA_016,2012-06-27,Tom Putnam,39905,Theater,1,86,"Brendan Doogie Milewski, Donald Austin",USA,English,¿¸√º,abandoned building detroit michigan firefighter,NA,NA,NA,Documentary
371,The Sound and the Shadow,N,DRAMA_THR_PSYCHO,2014-11-22,Justin Paul Miller,312180,Theater,1,90,"Mary Kate Wiles, Jennifer Landa",USA,English,19±›,A film titled The Sound and the Shadow.,NA,NA,NA,"Comedy, Mystery, Thriller"
372,Unknown,N,KVARIETY_198,2011-04-18,Jaume Collet-Serra,261290,øµ»≠∞¸,1,113,"Liam Neeson, Frank Langella",UK,English,15ºº,agriculture airport amnesia,NA,NA,NA,"Action, Mystery, Thriller"
373,Stitches,N,KVARIETY_122,2012-12-08,Conor McMahon,396049,øµ»≠∞¸,1,86,"Peter McQuinn, Tommy Knight",Ireland,English,19±›,cat killer death of animal high heels,NA,NA,NA,"Comedy, Horror"
374,Seven Psychopaths,N,MOVIE_MUSIC_POP,2012-10-19,Martin McDonagh,222917,øµ»≠∞¸,1,110,"Abbie Cornish, Gabourey Sidibe",UK,English,19±›,dognapping gangster misfiring gun,NA,NA,NA,"Comedy, Crime"
375,Coffee Town,N,MOVIE_DOC_POLITICS,2013-06-16,Brad Copeland,329622,Theater,1,87,"Sunil Narkar, Ben Schwartz",USA,English,¿¸√º,barista coffee coffee shop,NA,NA,NA,Comedy
376,The Signal,N,KDRAMA_082,2014-01-12,William Eubank,492475,Theater,1,97,"Lin Shaye, Olivia Cooke",USA,English,15ºº,computer hacker girlfriend in a coma nosebleed,NA,NA,NA,"Sci-Fi, Thriller"
377,Faster,N,KVARIETY_104,2010-12-23,George Tillman Jr.,432875,Theater,1,98,"Dwayne Johnson, Tom Berenger",USA,English,19±›,gun prison reference to god,NA,NA,NA,"Action, Crime, Drama"
378,Unstoppable,N,KVARIETY_191,2010-11-05,Tony Scott,305216,Theater,1,98,"Denzel Washington, Rosario Dawson",USA,English,15ºº,freight train race against time runaway train,NA,NA,NA,"Action, Thriller"
379,Riddick,N,KVARIETY_013,2013-12-28,David Twohy,174051,Theater,1,127,"Vin Diesel, Nolan Gerard Funk",USA,English,19±›,alien left for dead mercenary,NA,NA,NA,"Action, Sci-Fi, Thriller"
380,Beasts of the Southern Wild,N,DRAMA_THR_TECH,2012-04-24,Benh Zeitlin,145960,Theater,1,93,"Quvenzhan?? Wallis, Gina Montana",USA,English,15ºº,auroch community hospital,NA,NA,NA,"Drama, Fantasy"
381,Ramanujan,N,DRAMA_SCHOOL_BOARDING,2014-08-20,Gnana Rajasekaran,366186,øµ»≠∞¸,1,153,"Mani Bharathi, Michael Lieber",India,English,¿¸√º,ramanujan,NA,NA,NA,"Biography, Drama, History"
